parameter_type,parameter_name,index,factor,original_value,modified_value,objective_value,relative_change,solve_time,total_time,open_facilities_count,avg_utilization,capacity_demand_ratio
demands,demands_0,0,0.8,20.0,16.0,366.1,0.0,0.013565301895141602,0.015011310577392578,2,0.75625,1.3513513513513513
demands,demands_0,0,0.9,20.0,18.0,366.1,0.0,0.01116943359375,0.012417316436767578,2,0.76875,1.3274336283185841
demands,demands_0,0,1.1,20.0,22.0,366.1,0.0,0.011740446090698242,0.012964487075805664,2,0.79375,1.2820512820512822
demands,demands_0,0,1.2,20.0,24.0,366.1,0.0,0.011311531066894531,0.01255655288696289,2,0.80625,1.2605042016806722
demands,demands_1,1,0.8,25.0,20.0,366.0,-0.00027314941272882473,0.011947393417358398,0.01312565803527832,2,0.7482142857142857,1.3636363636363635
demands,demands_1,1,0.9,25.0,22.0,366.0,-0.00027314941272882473,0.012784004211425781,0.01432490348815918,2,0.7625,1.3392857142857142
demands,demands_1,1,1.1,25.0,28.0,366.20000000000005,0.00027314941272882473,0.01859140396118164,0.020319700241088867,2,0.8,1.271186440677966
demands,demands_1,1,1.2,25.0,30.0,366.26666666666665,0.0004552490212145008,0.013289928436279297,0.014578104019165039,2,0.8125,1.25
demands,demands_2,2,0.8,30.0,24.0,366.0,-0.00027314941272882473,0.011317968368530273,0.012600183486938477,2,0.7410714285714286,1.3761467889908257
demands,demands_2,2,0.9,30.0,27.0,366.0,-0.00027314941272882473,0.01152801513671875,0.012725353240966797,2,0.7625,1.3392857142857142
demands,demands_2,2,1.1,30.0,33.0,366.1818181818182,0.00022348588314166689,0.01324605941772461,0.014427423477172852,2,0.8,1.271186440677966
demands,demands_2,2,1.2,30.0,36.0,366.25,0.00040972411909308184,0.01284337043762207,0.014073848724365234,2,0.81875,1.2396694214876034
demands,demands_3,3,0.8,18.0,14.0,366.0,-0.00027314941272882473,0.012442588806152344,0.013646364212036133,2,0.7553571428571428,1.3513513513513513
demands,demands_3,3,0.9,18.0,16.0,366.03333333333336,-0.0001820996084858314,0.011330366134643555,0.01255655288696289,2,0.76875,1.3274336283185841
demands,demands_3,3,1.1,18.0,20.0,366.1666666666667,0.0001820996084858314,0.011087179183959961,0.012285470962524414,2,0.7937500000000001,1.2820512820512822
demands,demands_3,3,1.2,18.0,22.0,366.23333333333335,0.0003641992169716628,0.011138677597045898,0.012383699417114258,2,0.80625,1.2605042016806722
demands,demands_4,4,0.8,22.0,18.0,366.1,0.0,0.011858940124511719,0.013077735900878906,2,0.75625,1.3513513513513513
demands,demands_4,4,0.9,22.0,20.0,366.1,0.0,0.013010263442993164,0.014197111129760742,2,0.76875,1.3274336283185841
demands,demands_4,4,1.1,22.0,24.0,366.1,0.0,0.012470006942749023,0.01365351676940918,2,0.79375,1.2820512820512822
demands,demands_4,4,1.2,22.0,26.0,366.1,0.0,0.011785507202148438,0.012999534606933594,2,0.80625,1.2605042016806722
capacities,capacities_0,0,0.8,80.0,64.0,366.1,0.0,0.011424064636230469,0.012627601623535156,2,0.8515625,1.1652173913043478
capacities,capacities_0,0,0.9,80.0,72.0,366.1,0.0,0.01161050796508789,0.012847423553466797,2,0.8125,1.2347826086956522
capacities,capacities_0,0,1.1,80.0,88.0,366.1,0.0,0.011258363723754883,0.012439966201782227,2,0.7556818181818181,1.373913043478261
capacities,capacities_0,0,1.2,80.0,96.0,366.1,0.0,0.011020421981811523,0.012305259704589844,2,0.734375,1.4434782608695653
capacities,capacities_1,1,0.8,90.0,72.0,366.1,0.0,0.011402368545532227,0.012586832046508789,2,0.78125,1.3043478260869565
capacities,capacities_1,1,0.9,90.0,81.0,366.1,0.0,0.011209249496459961,0.01244664192199707,2,0.78125,1.3043478260869565
capacities,capacities_1,1,1.1,90.0,99.00000000000001,366.1,0.0,0.01133108139038086,0.012477397918701172,2,0.78125,1.3043478260869565
