parameter,S1,S1_conf,parameter_type,original_index
capacity_3,0.2794776971881798,0.020787003220211753,capacities,3
fixed_cost_0,0.08722710653724264,0.007716259613673382,fixed_costs,0
fixed_cost_2,0.04225916959318963,0.005327302824393853,fixed_costs,2
demand_2,0.03459551755508733,0.012113654399348644,demands,2
fixed_cost_4,0.0271683440556592,0.004675299355000146,fixed_costs,4
demand_0,0.024790836995640834,0.010489508361633917,demands,0
demand_4,0.02369954334380351,0.010230019838829485,demands,4
demand_1,0.022680381167330482,0.011318886375409119,demands,1
fixed_cost_3,0.02038877149093842,0.00507398486408377,fixed_costs,3
demand_3,0.014724383998482743,0.00951636823417592,demands,3
fixed_cost_1,0.0041505036566451626,0.0024059527342728654,fixed_costs,1
capacity_1,0.0033268590048823373,0.004439196506871673,capacities,1
capacity_4,0.0005097615235427332,0.0010083624072150972,capacities,4
trans_cost_1_3,0.00039197961218519683,0.00042641772130755937,transportation_costs,"(1, 3)"
trans_cost_4_0,0.000383460665654803,0.0004986848934836999,transportation_costs,"(4, 0)"
trans_cost_4_3,0.00033656891140581804,0.0004294681932219742,transportation_costs,"(4, 3)"
trans_cost_2_4,0.00024603388065150647,0.0004472658352620538,transportation_costs,"(2, 4)"
capacity_0,0.0002393066873381653,0.00042200606472062735,capacities,0
trans_cost_0_0,0.00020684798049960744,0.0005166096828072542,transportation_costs,"(0, 0)"
trans_cost_1_0,0.00018237455146521072,0.0005082331077788798,transportation_costs,"(1, 0)"
trans_cost_2_3,0.00014003941777836407,0.0004419140224770914,transportation_costs,"(2, 3)"
trans_cost_4_4,0.0001272221365147215,0.00019439970099564052,transportation_costs,"(4, 4)"
capacity_2,0.00012606185134837131,0.0002880431186084545,capacities,2
trans_cost_3_4,0.00011699379980294379,0.00018886133084631683,transportation_costs,"(3, 4)"
trans_cost_3_0,9.533991281540187e-05,0.000391020386696354,transportation_costs,"(3, 0)"
trans_cost_0_2,8.221009074699786e-05,0.00025430764479658435,transportation_costs,"(0, 2)"
trans_cost_3_1,7.490227700635967e-05,0.00022119783946706746,transportation_costs,"(3, 1)"
trans_cost_1_1,4.869273055547986e-05,0.0002361508591679329,transportation_costs,"(1, 1)"
trans_cost_0_1,2.8930426610745495e-05,0.00021988444625503043,transportation_costs,"(0, 1)"
trans_cost_2_0,-1.2625395775986484e-05,0.0003172553513542854,transportation_costs,"(2, 0)"
trans_cost_2_1,-1.3115895807383381e-05,0.00012675543210421888,transportation_costs,"(2, 1)"
trans_cost_2_2,-2.63080945491019e-05,0.0003767402212046392,transportation_costs,"(2, 2)"
trans_cost_1_4,-3.158983881470199e-05,0.00022249057820473406,transportation_costs,"(1, 4)"
trans_cost_4_2,-3.912819921818932e-05,0.0001978195353582108,transportation_costs,"(4, 2)"
trans_cost_4_1,-6.475989965955696e-05,0.00023375001920810398,transportation_costs,"(4, 1)"
trans_cost_1_2,-0.00012043168092326868,0.0004649384463466658,transportation_costs,"(1, 2)"
trans_cost_3_2,-0.0001363823635949682,0.00040289445363754294,transportation_costs,"(3, 2)"
trans_cost_3_3,-0.00014226538022570095,0.00043795050884995874,transportation_costs,"(3, 3)"
trans_cost_0_4,-0.0001764155200794952,0.00025444483396255666,transportation_costs,"(0, 4)"
trans_cost_0_3,-0.0002929808701049282,0.0005317554545350215,transportation_costs,"(0, 3)"
