parameter_combination,parameter1,parameter2,parameter1_type,parameter2_type,parameter1_index,parameter2_index,S2,S2_conf
demand_2 x capacity_3,demand_2,capacity_3,demands,capacities,2,3,0.045068689200836565,0.02042201108633205
demand_1 x capacity_3,demand_1,capacity_3,demands,capacities,1,3,0.0298610269085407,0.017929059757118244
demand_4 x capacity_3,demand_4,capacity_3,demands,capacities,4,3,0.015392078972539636,0.01837025805948574
demand_1 x trans_cost_3_3,demand_1,trans_cost_3_3,demands,transportation_costs,1,"(3, 3)",0.006684114893893273,0.015114560922846038
demand_1 x trans_cost_3_2,demand_1,trans_cost_3_2,demands,transportation_costs,1,"(3, 2)",0.006603581341338341,0.015088945052203775
demand_1 x trans_cost_4_3,demand_1,trans_cost_4_3,demands,transportation_costs,1,"(4, 3)",0.006547052665859605,0.015142656197277672
demand_1 x trans_cost_2_2,demand_1,trans_cost_2_2,demands,transportation_costs,1,"(2, 2)",0.006530816419088625,0.015050325342484266
demand_1 x trans_cost_0_3,demand_1,trans_cost_0_3,demands,transportation_costs,1,"(0, 3)",0.0065280454377683395,0.01504438521360755
demand_1 x capacity_4,demand_1,capacity_4,demands,capacities,1,4,0.006502066313249001,0.01508723909217412
demand_1 x trans_cost_2_0,demand_1,trans_cost_2_0,demands,transportation_costs,1,"(2, 0)",0.006483462408158456,0.015114415388120351
demand_1 x trans_cost_3_0,demand_1,trans_cost_3_0,demands,transportation_costs,1,"(3, 0)",0.0064795653930194924,0.015075930690489852
demand_1 x trans_cost_0_0,demand_1,trans_cost_0_0,demands,transportation_costs,1,"(0, 0)",0.006475352845941616,0.01506436056325872
demand_1 x trans_cost_3_1,demand_1,trans_cost_3_1,demands,transportation_costs,1,"(3, 1)",0.006471793448121638,0.01506538808969791
demand_1 x trans_cost_1_2,demand_1,trans_cost_1_2,demands,transportation_costs,1,"(1, 2)",0.006460234755178001,0.01506386633186469
demand_1 x trans_cost_0_4,demand_1,trans_cost_0_4,demands,transportation_costs,1,"(0, 4)",0.006450425466651542,0.015078482100911606
demand_1 x trans_cost_4_2,demand_1,trans_cost_4_2,demands,transportation_costs,1,"(4, 2)",0.006446603952001583,0.01504575593277973
demand_1 x trans_cost_4_1,demand_1,trans_cost_4_1,demands,transportation_costs,1,"(4, 1)",0.0064392233729663505,0.015097290022022973
demand_1 x trans_cost_0_2,demand_1,trans_cost_0_2,demands,transportation_costs,1,"(0, 2)",0.006412222845146297,0.015084480089186392
demand_1 x capacity_0,demand_1,capacity_0,demands,capacities,1,0,0.0064104208555381525,0.01510874142352976
demand_1 x trans_cost_4_4,demand_1,trans_cost_4_4,demands,transportation_costs,1,"(4, 4)",0.006387789394579265,0.015079993959272989
demand_1 x trans_cost_1_1,demand_1,trans_cost_1_1,demands,transportation_costs,1,"(1, 1)",0.006372564509866289,0.01511034482172513
demand_1 x trans_cost_1_4,demand_1,trans_cost_1_4,demands,transportation_costs,1,"(1, 4)",0.006350412942862172,0.015089689999318078
demand_1 x trans_cost_2_1,demand_1,trans_cost_2_1,demands,transportation_costs,1,"(2, 1)",0.006349715038749824,0.015086228893672194
demand_1 x capacity_2,demand_1,capacity_2,demands,capacities,1,2,0.006338583718501159,0.015081561877841532
demand_1 x trans_cost_1_0,demand_1,trans_cost_1_0,demands,transportation_costs,1,"(1, 0)",0.006329878492026221,0.015112307467391686
demand_1 x trans_cost_0_1,demand_1,trans_cost_0_1,demands,transportation_costs,1,"(0, 1)",0.006326130846584362,0.015066130965445724
demand_1 x trans_cost_3_4,demand_1,trans_cost_3_4,demands,transportation_costs,1,"(3, 4)",0.006316983943093027,0.015112935494245477
demand_1 x trans_cost_1_3,demand_1,trans_cost_1_3,demands,transportation_costs,1,"(1, 3)",0.006307511746684721,0.015063164100919959
demand_1 x trans_cost_4_0,demand_1,trans_cost_4_0,demands,transportation_costs,1,"(4, 0)",0.006306342649516906,0.015042775742947956
demand_1 x trans_cost_2_4,demand_1,trans_cost_2_4,demands,transportation_costs,1,"(2, 4)",0.00627601012610865,0.01506764388637588
